idx,책명,성경,start_chapter,end_chapter
1,잠언,OT,1,31
2,요한일서,NT,1,5
3,요한이서,NT,1,1
4,요한삼서,NT,1,1
5,유다서,NT,1,1
6,전도서,OT,1,12
7,요한계시록,NT,1,22
8,아가,OT,1,8
9,마태복음,NT,1,28
10,이사야,OT,1,66
11,마가복음,NT,1,16
12,예레미야,OT,1,52
13,누가복음,NT,1,24
14,에스겔,OT,1,48
15,요한복음,NT,1,21
16,다니엘,OT,1,12
17,사도행전,NT,1,28
18,호세아,OT,1,14
19,로마서,NT,1,16
20,요엘,OT,1,3
21,고린도전서,NT,1,16
22,아모스,OT,1,9
23,고린도후서,NT,1,13
24,오바댜,OT,1,1
25,갈라디아서,NT,1,6
26,요나,OT,1,4
27,에베소서,NT,1,6
28,미가,OT,1,7
29,빌립보서,NT,1,4
30,나훼,OT,1,3
31,하박국,OT,1,3
32,스바냐,OT,1,3
33,학개,OT,1,2
34,골로새서,NT,1,4
35,스가랴,OT,1,14
36,데살로니가전서,NT,1,5
37,말라기,OT,1,4
38,데살로니가후서,NT,1,3
39,민수기,OT,1,36
40,디모데전서,NT,1,6
41,신명기,OT,1,34
42,디모데후서,NT,1,4
43,여호수아,OT,1,24
44,디도서,NT,1,3
45,빌레몬서,NT,1,1
46,사사기,OT,1,21
47,히브리서,NT,1,13
48,룻기,OT,1,4
49,야고보서,NT,1,5
50,사무엘상,OT,1,31
51,베드로전서,NT,1,5
52,베드로후서,NT,1,3
53,사무엘하,OT,1,24
54,요한계시록,NT,1,22
55,열왕기상,OT,1,22
56,마태복음,NT,1,28
57,열왕기하,OT,1,25
58,마가복음,NT,1,16
59,역대상,OT,1,29
60,누가복음,NT,1,24
61,역대하,OT,1,36
62,요한복음,NT,1,21
63,시편,OT,1,78
64,사도행전,NT,1,28
65,시편,OT,79,118
