month,day,chapter,verse
01,01,창,1-3
01,02,창,4-6
01,03,창,7-9
01,04,창,10-13
01,05,창,14-17
01,06,창,18-20
01,07,창,21-23
01,08,창,24-25
01,09,창,26-27
01,10,창,28-30
01,11,창,31-32
01,12,창,33-36
01,13,창,37-39
01,14,창,40-42
01,15,창,43-45
01,16,창,46-48
01,17,창,49-50
01,18,출,1-3
01,19,출,4-6
01,20,출,7-9
01,21,출,10-12
01,22,출,13-15
01,23,출,16-18
01,24,출,19-21
01,25,출,22-24
01,26,출,25-26
01,27,출,27-29
01,28,출,30-32
01,29,출,33-35
01,30,출,36-38
01,31,출,39-40
02,01,레,1-4
02,02,레,5-7
02,03,레,8-10
02,04,레,11-13
02,05,레,14-15
02,06,레,16-18
02,07,레,19-21
02,08,레,22-24
02,09,레,25-27
02,10,민,1-3
02,11,민,4-6
02,12,민,7-9
02,13,민,10-12
02,14,민,13-15
02,15,민,16-18
02,16,민,19-21
02,17,민,22-24
02,18,민,25-27
02,19,민,28-30
02,20,민,31-33
02,21,민,34-36
02,22,신,1-2
02,23,신,3-4
02,24,신,5-6
02,25,신,7-9
02,26,신,10-12
02,27,신,13-15
02,28,신,16-18
02,29,없음,없음
02,30,없음,없음
02,31,없음,없음
03,01,신,19-21
03,02,신,22-24
03,03,신,25-27
03,04,신,28
03,05,신,29-31
03,06,신,32
03,07,신,33-34
03,08,수,1-4
03,09,수,5-7
03,10,수,8-9
03,11,수,10-11
03,12,수,12-14
03,13,수,15-17
03,14,수,18-20
03,15,수,21-22
03,16,수,23-24
03,17,삿,1-2
03,18,삿,3-4
03,19,삿,5-6
03,20,삿,7-8
03,21,삿,9-10
03,22,삿,11-13
03,23,삿,14-16
03,24,삿,17-19
03,25,삿,20-21
03,26,룻,1-4
03,27,삼상,1-2
03,28,삼상,3-6
03,29,삼상,7-9
03,30,삼상,10-12
03,31,삼상,13-14
04,01,삼상,15-16
04,02,삼상,17-18
04,03,삼상,19-20
04,04,삼상,21-23
04,05,삼상,24-25
04,06,삼상,26-28
04,07,삼상,29-31
04,08,삼하,1-3
04,09,삼하,4-7
04,10,삼하,8-11
04,11,삼하,12-13
04,12,삼하,14-15
04,13,삼하,16-18
04,14,삼하,19-21
04,15,삼하,22-24
