idx,chaper,bible,start_paragraph,end_paragraph,
1,잠언,구약,1,31,
2,베드로전서,신약,1,5,
3,전도서,구약,1,12,
4,베드로후서,신약,1,3,
5,아가,구약,1,8,
6,요한일서,신약,1,5,
7,이사야,구약,1,66,
8,요한이서,신약,1,1,
9,예레미야,구약,1,52,
10,요한삼서,신약,1,1,
11,예레미야애가,구약,1,5,
12,유다서,신약,1,1,
13,에스겔,구약,1,48,
14,요한계시록,신약,1,22,
15,다니엘,구약,1,12,
16,마태복음,신약,1,28,
17,호세아,구약,1,14,
18,마가복음,신약,1,16,
19,요엘,구약,1,3,
20,누가복음,신약,1,24,
21,아모스,구약,1,9,
22,요한복음,신약,1,21,
23,오바댜,구약,1,1,
24,사도행전,신약,1,28,
25,요나,구약,1,4,
26,로마서,신약,1,16,
27,미가,구약,1,7,
28,고린도전서,신약,1,16,
29,나훔,구약,1,3,
30,고린도후서,신약,1,13,
31,하박국,구약,1,3,
32,갈라디아서,신약,1,6,
33,스바냐,구약,1,3,
34,에베소서,신약,1,6,
35,학개,구약,1,2,
36,빌립보서,신약,1,4,
37,스가랴,구약,1,14,
38,골로새서,신약,1,4,
39,말라기,구약,1,4,
40,데살로니가전서,신약,1,5,
41,창세기,구약,1,50,
42,데살로니가후서,신약,1,3,
43,출애굽기,구약,1,40,
44,디모데전서,신약,1,6,
45,레위기,구약,1,27,
46,디모데후서,신약,1,4,
47,민수기,구약,1,36,
48,디도서,신약,1,3,
49,신명기,구약,1,34,
50,시편,구약,1,72,
51,빌레몬서,신약,1,1,
52,히브리서,신약,1,13,
53,시편,구약,73,118,
